id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1400863,4.46,COC(=O)c1ccccc1NC(=O)CN1CCN(C(=O)c2ccco2)CC1,Homo sapiens,chembl
CHEMBL1401280,4.12,c1ccc(CNc2ncnc3c2cnn3-c2ccccc2)cc1,Homo sapiens,chembl
CHEMBL1401485,4.2,O=C(Nc1nncs1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,Homo sapiens,chembl
CHEMBL1403868,4.26,CCCC(=O)Nc1cc(C)c2c(=O)oc3ccccc3c2n1,Homo sapiens,chembl
CHEMBL1412291,4.06,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(Cl)cc2)CC1,Homo sapiens,chembl
CHEMBL1413946,4.56,N#CCCSc1ncnc2c1oc1ccccc12,Homo sapiens,chembl
CHEMBL1414184,4.41,COC(=O)c1sccc1NC(=O)c1csc(C)c1,Homo sapiens,chembl
CHEMBL1414492,4.26,COC(=O)c1ccccc1NC(=O)c1ccc(NS(C)(=O)=O)cc1,Homo sapiens,chembl
CHEMBL1414543,4.52,c1ccc2c3c(N4CCOCC4)[nH]c4ccccc4c-3nc2c1,Homo sapiens,chembl
CHEMBL1414671,4.17,COc1ccc2c(Cl)c(C(N)=O)sc2c1,Homo sapiens,chembl
CHEMBL1416028,5.37,CCOc1ccc(CC(=O)Nc2c(C(N)=O)oc3ccccc23)cc1OCC,Homo sapiens,chembl
CHEMBL1416641,4.46,CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCc2ccccc2)ccc1O,Homo sapiens,chembl
CHEMBL1417364,4.42,CCCCC(=O)Nc1cccc(NC(=O)c2ccc(Br)o2)c1,Homo sapiens,chembl
CHEMBL1418336,4.93,COC(=O)c1ccccc1NC(=O)CSc1nc(N)cc(N)n1,Homo sapiens,chembl
CHEMBL1419933,4.99,CN1CCN(c2ccccc2NC(=O)c2ccc(Br)o2)CC1,Homo sapiens,chembl
CHEMBL1420552,5.890000000000001,CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,Homo sapiens,chembl
CHEMBL1420829,4.21,Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1,Homo sapiens,chembl
CHEMBL1421889,4.31,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCC(n2cnc3cc(F)ccc32)CC1,Homo sapiens,chembl
CHEMBL1423096,5.67,Clc1ccc2[nH]c3c(c2c1)CCc1c[nH]nc1-3,Homo sapiens,chembl
CHEMBL1423507,4.14,O=C(CCCCCn1c(SCc2ccncc2)nc2ccccc2c1=O)NCc1ccco1,Homo sapiens,chembl
CHEMBL1423779,4.9,CCOc1ccc(-c2nc(N)ncc2-c2ccccc2)c(O)c1,Homo sapiens,chembl
CHEMBL1425417,4.3,CNC(=O)c1[nH]cnc1C(=O)Nc1cccc(OC)c1,Homo sapiens,chembl
CHEMBL1426468,4.57,COC(=O)c1sccc1NC(=O)c1ccc(OC)cc1,Homo sapiens,chembl
CHEMBL1427588,4.37,NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCC2,Homo sapiens,chembl
CHEMBL1428011,4.38,CC1=C(C(=O)OC2CCCCCCC2)C(c2ccc(O)cc2)NC(=O)N1,Homo sapiens,chembl
CHEMBL1428357,4.49,COc1ccc(C2=NOC(C(=O)Nc3ccc(C(C)=O)cc3)C2)cc1OC,Homo sapiens,chembl
CHEMBL1429270,5.38,COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccccc2C)CC1,Homo sapiens,chembl
CHEMBL1429633,4.26,COc1cccc(OCC(=O)Nc2ccccc2C(N)=O)c1,Homo sapiens,chembl
CHEMBL1429706,4.95,Cc1cc(NC(=O)CSC2=Nc3ccccc3C3=NC(Cc4ccccc4)C(=O)N23)[nH]n1,Homo sapiens,chembl
